time,bid_price,ask_price,bid_size,ask_size,seq_num
2021-08-03 02:13:02.41837 UTC,229.46,229.51,1000,1000,1627942268920661013
2021-08-03 02:13:02.862469 UTC,229.46,229.58,1000,1000,1627942268920661016
2021-08-03 02:13:02.862486 UTC,229.46,229.5,1000,1000,1627942268920661017
2021-08-03 02:13:08.597781 UTC,229.46,229.58,1000,1000,1627942268920661020
2021-08-03 02:13:08.597804 UTC,229.46,229.51,1000,1000,1627942268920661021
2021-08-03 02:14:04.975466 UTC,229.46,229.58,1000,1000,1627942268920661024
2021-08-03 02:14:04.975498 UTC,229.46,229.52,1000,1000,1627942268920661025
2021-08-03 02:14:19.665201 UTC,229.46,229.58,1000,1000,1627942268920661032
2021-08-03 02:14:19.665218 UTC,229.46,229.51,1000,1000,1627942268920661033
2021-08-03 02:14:30.161433 UTC,229.46,229.58,1000,1000,1627942268920661036
2021-08-03 02:14:30.161454 UTC,229.46,229.5,1000,1000,1627942268920661037
2021-08-03 02:14:41.152085 UTC,229.46,229.58,1000,1000,1627942268920661040
2021-08-03 02:14:41.152103 UTC,229.46,229.52,1000,1000,1627942268920661041
2021-08-03 02:14:41.15241 UTC,229.46,229.58,1000,1000,1627942268920661043
2021-08-03 02:14:41.15243 UTC,229.46,229.5,1000,1000,1627942268920661044
2021-08-03 02:14:48.19142 UTC,229.46,229.58,1000,1000,1627942268920661046
2021-08-03 02:14:48.19144 UTC,229.46,229.51,1000,1000,1627942268920661047
2021-08-03 02:15:04.596874 UTC,229.46,229.5,1000,1000,1627942268920661057
2021-08-03 02:15:04.596853 UTC,229.46,229.51,1000,1000,1627942268920661056
2021-08-03 02:15:15.587149 UTC,229.46,229.58,1000,1000,1627942268920661066
2021-08-03 02:15:15.587176 UTC,229.46,229.5,1000,1000,1627942268920661067
2021-08-03 02:15:23.438167 UTC,229.46,229.4,1000,300,1627942268920661070
2021-08-03 02:15:25.698928 UTC,229.46,229.5,1000,1000,1627942268920661071
2021-08-03 02:15:26.187154 UTC,229.46,229.4,1000,300,1627942268920661072
2021-08-03 02:15:28.10905 UTC,229.46,229.5,1000,1000,1627942268920661073
2021-08-03 02:15:28.520092 UTC,229.46,229.58,1000,1000,1627942268920661078
2021-08-03 02:15:28.52013 UTC,229.46,229.49,1000,1000,1627942268920661079
2021-08-03 02:15:28.621675 UTC,229.46,229.4,1000,300,1627942268920661081
2021-08-03 02:15:29.003565 UTC,229.46,229.49,1000,1000,1627942268920661082
2021-08-03 02:15:30.559509 UTC,229.46,229.4,1000,300,1627942268920661084
2021-08-03 02:15:32.24371 UTC,229.46,229.49,1000,1000,1627942268920661085
2021-08-03 02:15:40.325827 UTC,229.46,229.4,1000,300,1627942268920661086
2021-08-03 02:15:40.384146 UTC,229.46,229.49,1000,1000,1627942268920661087
2021-08-03 02:15:52.808043 UTC,229.46,229.4,1000,300,1627942268920661088
2021-08-03 02:15:52.954158 UTC,229.46,229.49,1000,1000,1627942268920661089
2021-08-03 02:15:53.2534 UTC,229.46,229.4,1000,300,1627942268920661090
2021-08-03 02:16:05.741352 UTC,229.46,229.49,1000,1000,1627942268920661091
2021-08-03 02:16:18.321223 UTC,229.46,229.4,1000,300,1627942268920661092
2021-08-03 02:16:18.32803 UTC,229.46,229.49,1000,1000,1627942268920661093
2021-08-03 02:16:30.074437 UTC,229.46,229.4,1000,300,1627942268920661094
2021-08-03 02:16:30.344173 UTC,229.46,229.49,1000,1000,1627942268920661095
2021-08-03 02:16:40.268337 UTC,229.46,229.4,1000,300,1627942268920661100
2021-08-03 02:16:44.249175 UTC,229.46,229.49,1000,1000,1627942268920661101
2021-08-03 02:16:44.547999 UTC,229.46,229.4,1000,300,1627942268920661102
2021-08-03 02:17:15.739185 UTC,229.46,229.49,1000,1000,1627942268920661103
2021-08-03 02:17:21.002516 UTC,229.46,229.4,1000,300,1627942268920661108
2021-08-03 02:17:21.613699 UTC,229.46,229.49,1000,1000,1627942268920661109
2021-08-03 02:17:24.166371 UTC,229.46,229.4,1000,300,1627942268920661110
2021-08-03 02:17:26.024796 UTC,229.46,229.49,1000,1000,1627942268920661111
2021-08-03 02:17:29.160086 UTC,229.46,229.58,1000,1000,1627942268920661112
2021-08-03 02:17:29.160105 UTC,229.46,229.48,1000,1000,1627942268920661113
2021-08-03 02:17:29.261893 UTC,229.46,229.4,1000,300,1627942268920661114
2021-08-03 02:18:48.463491 UTC,229.46,229.48,1000,1000,1627942268920661119
2021-08-03 02:18:49.488126 UTC,229.46,229.58,1000,1000,1627942268920661120
2021-08-03 02:18:49.488166 UTC,229.46,229.47,1000,1000,1627942268920661121
2021-08-03 02:18:49.58959 UTC,229.46,229.4,1000,300,1627942268920661123
2021-08-03 02:19:09.19418 UTC,229.46,229.47,1000,1000,1627942268920661134
2021-08-03 02:19:26.648345 UTC,229.46,229.58,1000,1000,1627942268920661140
2021-08-03 02:19:26.648364 UTC,229.46,229.48,1000,1000,1627942268920661141
2021-08-03 02:19:40.794503 UTC,229.46,229.58,1000,1000,1627942268920661150
2021-08-03 02:19:40.794524 UTC,229.46,229.49,1000,1000,1627942268920661151
2021-08-03 02:19:54.564226 UTC,229.46,229.58,1000,1000,1627942268920661154
2021-08-03 02:19:54.564227 UTC,229.46,229.56,1000,1000,1627942268920661155
2021-08-03 02:19:54.692163 UTC,229.46,229.58,1000,1000,1627942268920661160
2021-08-03 02:19:54.692185 UTC,229.46,229.51,1000,1000,1627942268920661161
2021-08-03 02:20:00.877869 UTC,229.46,229.58,1000,1000,1627942268920661162
2021-08-03 02:20:00.877888 UTC,229.46,229.49,1000,1000,1627942268920661163
2021-08-03 02:20:18.022763 UTC,229.46,229.58,1000,1000,1627942268920661166
